ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2021,7,"28,819","15,362",172.02,sábado,07/17/2021 10:45:00 PM,7.9
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001037,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2021,7,"6,984","2,343",21.15,domingo,07/04/2021 02:15:00 AM,14.37
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2021,7,"20,586","7,161",48.42,martes,07/13/2021 10:30:00 PM,18.7
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2021,7,"15,208","6,995",75.91,sábado,07/17/2021 06:30:00 PM,9
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2021,7,"10,049","5,073",40.03,sábado,07/24/2021 07:15:00 PM,17.7
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753015,GUAYABAL (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2021,7,"5,762","2,817",37.36,sábado,07/10/2021 12:15:00 PM,6.4
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753009,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2021,7,"5,230","2,088",42.8,jueves,07/08/2021 07:30:00 PM,5.3
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2021,7,"12,206","6,910",86.46,sábado,07/17/2021 07:00:00 PM,6.17
19,CAUCA,19318,GUAPI,19318008,LIMONES (GUAPI - CAUCA),2021,7,"8,397","3,349",35.81,viernes,07/02/2021 07:00:00 PM,9.33
19,CAUCA,19318,GUAPI,19318013,SAN ANTONIO DE GUAJUÍ (GUAPI - CAUCA),2021,7,"11,919","4,164",48.77,miércoles,07/21/2021 07:00:00 PM,9.46
19,CAUCA,19418,LÓPEZ DE MICAY,19418024,BETANIA - NAYA (LÓPEZ (MICAY) - CAUCA),2021,7,"5,777","2,059",30.12,domingo,07/25/2021 07:00:00 PM,7.24
19,CAUCA,19418,LÓPEZ DE MICAY,19418033,BOCA GRANDE (LÓPEZ (MICAY) - CAUCA),2021,7,"4,135",854,29.56,martes,07/06/2021 07:15:00 PM,5.31
19,CAUCA,19418,LÓPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2021,7,"3,920","1,615",24.22,viernes,07/30/2021 07:00:00 PM,6.29
19,CAUCA,19418,LÓPEZ DE MICAY,19418007,LA CONCHA - CONCEPCIÓN NAYA (LOPEZ (MICAY) - CAUCA),2021,7,"1,034",247,14.32,sábado,07/31/2021 06:15:00 PM,3.8
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2021,7,"7,660","2,416",40,sábado,07/31/2021 09:00:00 PM,8.11
19,CAUCA,19418,LÓPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2021,7,"7,440","2,566",55.55,domingo,07/25/2021 07:30:00 PM,5.26
19,CAUCA,19418,LÓPEZ DE MICAY,19418015,SAN ISIDRO (LÓPEZ DE MICAY - CAUCA),2021,7,897,334,5.98,sábado,07/31/2021 05:30:00 PM,6.23
19,CAUCA,19418,LÓPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2021,7,"9,865","4,618",70.4,viernes,07/23/2021 08:30:00 PM,7.14
19,CAUCA,19809,TIMBIQUÍ,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2021,7,"5,521","2,254",33.82,jueves,07/15/2021 08:30:00 PM,6.25
